"organism","project_home","project","n_samples","study_title","study_abstract"
"human","data_sources/sra","SRP107565",216,"Multiomics Profiling Establishes the Polypharmacology of FDA-Approved CDK4/6 Inhibitors and the Potential for Differential Clinical Activity.","We compared three CDK4/6 inhibitors that have recently emerged as highly promising agents for advanced breast cancers by performing transcriptional profiling (mRNA-Seq) on a panel of seven breast cancer cell lines following 6 or 24 hours of drug exposure at concentrations ranging from 0.3 to 3.0 uM. Overall design: mRNA levels for 7 breast cancer cell lines treated with one of three CDK4/6 inhibitors (abemaciclib, palbociclib, or ribociclib) at either 0.3 uM, 1.0 uM (only for MCF7), or 3.0 uM for either 6 or 24 hours."
"human","data_sources/sra","SRP125965",72,"Transcriptomic profiling of human HAP1 cells before and after nutrient deprivation","Autophagy is a lysosomal degradation pathway critical for maintaining cellular homeostasis and viability, and is predominantly regarded as a rapid and dynamic cytoplasmic process. To improve our understanding of the transcriptional and epigenetic events associated with autophagy, we performed genome-wide transcriptomic and epigenomic profiling after nutrient deprivation in human wildtype and autophagy-deficient cells. We observed that nutrient deprivation leads to the transcriptional induction of numerous autophagy-associated genes. These transcriptional changes are reflected at the epigenetic level (H3K4me3, H3K27ac, and H3K56ac) and are independent of autophagic flux. Overall design: Transcriptome analysis of HAP1 WT, ATG7KO and RB1CC1KO cells with and without amino acid + serum starvation (6h EBSS). For each sample 3 replicates were included."
"human","data_sources/sra","SRP057065",51,"Dual RNA-seq – High-resolution comparative Dual RNA-seq time-course","Bacteria possess many small noncoding RNAs whose regulatory roles in pathogenesis are little understood due to a paucity of macroscopic phenotypes in standard virulence assays. Here, we use a novel Dual RNA-seq approach for a single-step simultaneous RNA profiling in both pathogen and host to reveal molecular phenotypes of sRNAs during infection with Salmonella Typhimurium. We identify a new PhoP/Q-activated small RNA which upon bacterial internalization acts to temporally control the expression of both, invasion-associated effectors and virulence genes required for intracellular survival. This riboregulatory activity is shown to adjust the human response to replicating Salmonella, and have a pervasive impact on host RNA expression both inside and outside protein-coding regions including infection-specific alterations of an array of long noncoding RNAs. Our study provides a paradigm for a comprehensive RNA-based analysis of intracellular bacterial pathogens without their physical purification from a host and a new discovery route for hidden functions of pathogen genes. Overall design: High-resolution comparative Dual RNA-seq time-course"
"human","data_sources/sra","SRP157965",63,"Total RNA-seq in patients with hematological malignancy","Immune response and leukocyte activation genes are upregulated following 5-azacitidine treatment Overall design: Total RNA-seq were performed in RNA samples taken before, during, and after treatment with the DNMTi 5-azacitidine."
"human","data_sources/sra","SRP013565",2212,"GSE35585: RIP-seq from ENCODE/SUNY Albany",NA
"human","data_sources/sra","SRP201365",79,"Timecourse of gene expression in HeLa cells (parental cells and clonal knockouts of MED12 and MED24) following induction by TNFa or IL-1b","Activation of nuclear factor kappa B (NF-kB) by inflammatory signals results in nuclear translocation of the transcription factor p65 and induction of gene expression. We identified MED12 and MED24 in an optical pooled CRISPR knockout screen in HeLa-Cas9 cells for genes affecting the activation and/or relaxation of p65 to the cytoplasm following induction by either TNFa or IL-1b. We generated isogenic clonal knockout HeLa-Cas9 lines using crRNA transfection and confirmed that loss of MED12 or MED24 results in delayed relaxation of p65, assayed by live-cell imaging of a p65-mNeonGreen fluorescent fusion. Overall design: Biological replicates were defined as replicate clonal knockout cell lines (for MED12 and MED24 knockouts) or replicate stimulations (for parental control cells) (n = 3 or 4 biological replicates)."
"human","data_sources/sra","SRP071965",355,"A blood RNA signature for tuberculosis disease risk: a prospective cohort study","Identification of blood biomarkers that prospectively predict progression of Mycobacterium tuberculosis  infection to tuberculosis disease might lead to interventions that combat the tuberculosis epidemic. We aimed to  assess whether global gene expression measured in whole blood of healthy people allowed identification of prospective  signatures of risk of active tuberculosis disease. RESULTS:Between July 6, 2005, and April 23, 2007, we enrolled 6363 from the ACS study and 4466 from independent  South African and Gambian cohorts. 46 progressors and 107 matched controls were identified in the ACS cohort. A  16 gene signature of risk was identified. The signature predicted tuberculosis progression with a sensitivity of 66·1%  (95% CI 63·2–68·9) and a specificity of 80·6% (79·2–82·0) in the 12 months preceding tuberculosis diagnosis. The  risk signature was validated in an untouched group of adolescents (p=0·018 for RNA sequencing and p=0·0095 for  qRT-PCR) and in the independent South African and Gambian cohorts (p values <0·0001 by qRT-PCR) with a  sensitivity of 53·7% (42·6–64·3) and a specificity of 82·8% (76·7–86) in 12 months preceding tuberculosis. Interpretation: The whole blood tuberculosis risk signature prospectively identified people at risk of developing active  tuberculosis, opening the possibility for targeted intervention to prevent the disease. Overall design: In this prospective cohort study, we followed up healthy, South African adolescents aged 12–18 years from  the adolescent cohort study (ACS) who were infected with M tuberculosis for 2 years. We collected blood samples from  study participants every 6 months and monitored the adolescents for progression to tuberculosis disease. A prospective  signature of risk was derived from whole blood RNA sequencing data by comparing participants who developed  active tuberculosis disease (progressors) with those who remained healthy (matched controls). After adaptation to  multiplex qRT-PCR, the signature was used to predict tuberculosis disease in untouched adolescent samples and in  samples from independent cohorts of South African and Gambian adult progressors and controls. Participants of the  independent cohorts were household contacts of adults with active pulmonary tuberculosis disease."
"human","data_sources/sra","SRP119465",368,"Homo sapiens Raw sequence reads","Single-cell Transcriptome Sequencing Analysis for Human Esophageal Squamous Carcinoma and Human Esophageal Adenocarcinoma"
"human","data_sources/sra","ERP104512",1908,"Single-cell RNA-seq of CD4+ Treg and Tmem cells from different tissues in mouse and human","Non-lymphoid tissues (NLTs) harbour a pool of adaptive immune cells distinct from their counterparts in lymphoid tissues, and their development and phenotype remains largely unexplored. We used scRNA-seq to survey CD4+ T regulatory (Treg) and memory T (Tmem) cells in spleen, lymph nodes, skin and colon in an unbiased way, in mouse and human. This cross-tissues, cross-species comparison allows us to obtain marker genes for immune populations in specific locations with likely relevance for human studies. Additionally, a continuous phenotype of Treg migration can be modelled from the mouse data, unravelling the transcriptional stages through which these cells transition between tissues."
"human","data_sources/sra","SRP065812",52,"Long non-coding RNAs  in psoriatic and healthy skin","In this study, we used RNA-sequencing to profile the long non-coding RNA (lncRNA) transcriptome in lesional skin from psoriasis patients before (PP) and after treatment (PT) with adalimumab and in normal skin from healthy individuals (NN). For this we sequenced total RNA from 18 psoriasis patients (before and after treatment) and 16 healthy controls. We created our own reference set of long non-coding RNAs by merging three long non-coding RNA reference data sets. The combined reference had 67,157 lncRNA transcripts with no overlaps. We identified differential expression of 971 lncRNAs between PP and NN, 157 between PP and PT, and 377 between PT and NN. Based on differentially expressed (DE) lncRNAs between PP and NN, we identified a molecular lncRNA signature that distinguishes psoriatic skin from healthy skin . Overall design: We recruited 18 psoriatic patients in our study. We took 5 mm punch biopsies from the edge of a psoriatic plaque before treatment and after one month of treatment with adalimumab. The mean improvement in the PASI over this time period was 53.1%. We obtained sixteen normal skin samples (N=16) from healthy control surgical discard specimens."
"human","data_sources/sra","SRP166112",864,"Acquired HER2 mutations in ER+ metastatic breast cancer confer resistance to ER-directed therapies","Estrogen receptor positive (ER+) breast cancers that develop resistance to therapies that target the ER are the most common cause of breast cancer death. Beyond mutations in ER, which occur in 25-30% of patients treated with aromatase inhibitors (AIs), our understanding of clinical mechanisms of resistance to ER-directed therapies remains incomplete. We identified activating HER2 mutations in metastatic biopsies from eight patients with ER+ metastatic breast cancer who had developed resistance to ER-directed agents, including AIs, tamoxifen, and fulvestrant. Examination of treatment-naïve primary tumors in five patients revealed no evidence of pre-existing mutations in four of five patients, suggesting that these mutations were acquired under the selective pressure of ER-directed therapy. These mutations were mutually exclusive with ER mutations, suggesting a distinct mechanism of acquired resistance to ER-directed therapies. In vitro analysis confirmed that these mutations conferred estrogen independence. In addition, and in contrast to ER mutations, these mutations resulted in resistance to tamoxifen, fulvestrant, and the CDK4/6 inhibitor palbociclib. Resistance was overcome by combining ER-directed therapy with the irreversible HER2 kinase inhibitor neratinib, highlighting an effective treatment strategy in these patients. Overall design: Examination of the transcriptional output (mRNA) of  the HER2 activating mutations compared with controls under various drugs. Specifically, we expressed the activating mutations S653C, L755S, V777L, and L869R  in ER+/HER2- breast cancer cell line (T47D), and controls (GFP, wild-type HER2, kinase-dead HER2, and ESR1 Y537S). Cell were then treated with DMSO, 1µM fulvestrant, 1µM neratinib, 10µM palbociclib, 1µM fulvestrant + 1µM neratinib, or 1µM fulvestrant + 10µM palbociclib for 24 hours. All experimental conditions were done in 6 replicates, sequenced in 3 replicates"
"human","data_sources/sra","SRP144912",770,"Pericyte-to-neuron reprogramming via unfolding of a neural stem cell-like program","Ectopic expression of defined transcription factors can force direct cell fate conversion from one lineage to another in the absence of cell division. Several transcription factor cocktails have enabled successful reprogramming of various somatic cell types into induced neurons (iNs) of distinct neurotransmitter phenotype. However, the nature of the intermediate states that drive the reprogramming trajectory towards distinct iN types is largely unknown. Here we show that successful direct reprogramming of adult human brain pericytes into functional iNs by Ascl1 and Sox2 (AS) encompasses transient activation of a neural stem cell-like gene expression program that precedes bifurcation into distinct neuronal lineages. Intriguingly, during this transient state key signaling components relevant for neural induction and neural stem cell maintenance are regulated and functionally contribute to iN reprogramming and maturation. Thus, AS-mediated reprogramming into a broad spectrum of iN types involves the unfolding of a developmental program via neural stem cell-like intermediates. Overall design: Single-cell transcriptomes from multiple time points and conditions during direct conversion of human pericytes into induced pericytes through the overexpression of defined factors. Please note that [1] the *ctrl samples represent mock-transfected cells (analyzed along side of the transfected cells) [2] The cell type (for each sample) is provided as 'pericytes or pericyte-derived induced neuronal cells' (as they are in a differentiation continuum from pericytes to neurons due to the treatment protocol) with the combination of 'genotype/variation' and 'time point' information."
"human","data_sources/sra","SRP144212",56,"CDK12 mediated transcriptional regulation in U2OS cells","While activation of canonical NF-?B signaling through the IKK complex is well studied, few regulators of NIK-dependent non-canonical p52 nuclear translocation have been identified. We discovered a novel role for cyclin dependent kinase 12 (CDK12) in transcriptionally regulating the non-canonical NF-?B pathway. High-content phenotypic screening identified a novel compound, 919278, which inhibits lymphotoxin ß receptor (LTßR)- and FN14-dependent p52 nuclear translocation, but not TNFa receptor (TNFR)-mediated, canonical NF-?B p65 nuclear translocation. Chemoproteomics identified cyclin dependent kinase 12 (CDK12) as the target of 919278. CDK12 inhibition by 919278, THZ1, or siRNA knock down all affect similar global transcriptional changes and prevent LTßR and FN14-dependent MAP3K14 (NIK) mRNA induction and subsequent protein accumulation. In addition, 919278 and THZ1 treatment reduce RNA Pol II CTD phosphorylation. This powerful approach of coupling a phenotypic screen with chemoproteomics revealed a novel regulatory pathway of the non-canonical NF-?B pathway that could serve as a therapeutic target in autoimmunity and cancer. Overall design: There are TWEAK stimulated and unstimulated conditions, 4hr and 24hr time points. 7 treatments (DMSO, BIO0702697, BIO0919278, BIO032202, NTsiRNA, siRNAs523626, siRNAs523629) in duplicates. In total, 56 sample were sequenced and analyzed."
"human","data_sources/sra","SRP119312",60,"Integrated analysis of motif activity and gene expression changes of transcription factors","The ability to predict transcription factors based on sequence information in regulatory elements is a key step in systems-level investigation of transcriptional regulation. Here, we have developed a novel tool, IMAGE, for precise prediction of transcription factors based on transcriptome profiling and genome-wide maps of enhancer activity. High precision is obtained by combining a near-complete database of position weight matrices (PWMs), generated by compiling public databases and systematic prediction of PWMs for uncharacterized transcription factors, with a state-of-the-art method for PWM scoring and a novel machine learning strategy, based on both enhancers and promoters, to predict the contribution of motifs to transcriptional activity. We applied IMAGE to published data obtained during 3T3-L1 adipocyte differentiation and showed that IMAGE predicts causal transcriptional regulators of this process with higher confidence than other methods. Furthermore, we generated genome-wide maps of enhancer activity and transcripts during human mesenchymal stem cell commitment and adipocyte differentiation and used IMAGE to identify positive and negative transcriptional regulators of this process. Collectively, our results demonstrate that IMAGE is a powerful and precise method for prediction of regulators of gene expression. Overall design: Genome-wide characterization of the adipocyte differentiation of hMSC-TERT4 cells using MED1 ChIP-seq and RNA-seq"
"human","data_sources/sra","SRP069212",282,"RNA-seq analysis of hepatocellular carcinoma with portal vein tumor thrombosis","Portal vein tumor thrombosis is a strong poor indication of HCC. Characterizing the molecular alterations of these metastatic HCCs is important for understanding the molecular mechanisms during HCC progression and metastasis. Previous genomic studies mainly focus on single molecular layer, such as gene expressions or exonic mutations. In this study, we systematically examined the copy number variation (CNV), DNA methylation, miRNA and transcriptome of matched adjacent normal tissues, primary tumors and PVTTs from 19 HCC patients. Based on the integrative multi-omics profiles, we established the molecular landscape of the metastatic HCCs and identified a set of the recurrent genomic alterations and candidate driver genes. Overall design: RNA-seq of matched adjacent normal, primary tumor and PVTT samples from HCC patients"
"human","data_sources/sra","SRP109318",75,"p53 pulses lead to distinct patterns of gene expression albeit similar DNA-binding dynamics","Investigation of mechanism of gene regulation in response to pulses in p53 protein level induced by gamma irradiation. To directly connect p53 pulses with gene expression, we collected time-course ChIP-Seq and RNA-Seq data. Overall design: Time course p53, H3K27ac ChIP-Seq and RNA-Seq data in MCF7 cells treated with 10Gy gamma irradiation. As well as time course RNA-Seq data in MCF7 cells expressing p53shRNA."
"human","data_sources/sra","ERP104818",96,"Transcriptomic characterization of the human cell cycle in individual unsynchronized cells","Here, we profiled transcription across the cell cycle in single human myxoid liposarcoma cells, without prior synchronization. Flourescence-activated cell sorting was used to infer G1, S or G2/M cell cycle stages after staining cells for DNA content. Single-cell RNA-sequencing was performed according to the Smart-seq2 protocol."
"human","data_sources/sra","SRP132018",56,"In-vitro stimulation of healthy donor blood with IL-3 cytokine","This experiment was designed to look for in vitro IL-3 gene signature in donor blood at two different time points (6 and 24 hours). RNA from lysed whole blood cells was used for the sequencing. Overall design: Lysed whole blood from seven healthy donors was stimulated with recombinant human IL-3 for 6 hours, or 24 hours, prior to RNA extraction for next-generation sequencing on the Illumina HiSeq platform. Unstimulated samples were included as controls."
